,protein_name
71,Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: alpha chain; beta chain] [Includes: Glutamate N-acetyltransferase ; Amino-acid acetyltransferase ]
72,Arginine deiminase
73,Arginine--tRNA ligase
74,Argininosuccinate lyase
75,Argininosuccinate synthase
76,Aromatic-amino-acid aminotransferase
77,Arsenical pump-driving ATPase
78,Arylamine N-acetyltransferase
79,Aspartate 1-decarboxylase [Cleaved into: beta chain; alpha chain]
80,Aspartate ammonia-lyase
81,Aspartate carbamoyltransferase
82,Aspartate--tRNA ligase
83,Aspartate-semialdehyde dehydrogenase
84,Aspartokinase
85,Beta-ketoacyl-[acyl-carrier-protein] synthase III
86,Bifunctional NADH-hydrate repair enzyme [Includes: ADP-dependent -NADH-hydrate dehydratase HX dehydratase); epimerase ]
87,Bifunctional aspartate transaminase/aspartate 4-decarboxylase
88,Bifunctional folate synthesis protein [Includes: Dihydroneopterin aldolase ; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase ]
89,Bifunctional ligase/repressor BirA
90,Bifunctional oligoribonuclease and PAP phosphatase NrnA
91,Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase ; Methenyltetrahydrofolate cyclohydrolase ]
92,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase ; Glucosamine-1-phosphate N-acetyltransferase ]
93,Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase ; IMP cyclohydrolase ]
94,Biotin carboxylase
95,Branched-chain-amino-acid aminotransferase
96,Butyrate--acetoacetate CoA-transferase subunit B
97,CCA-adding enzyme
98,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
99,CO-methylating acetyl-CoA synthase
100,CRISPR-associated exonuclease Cas4
101,CTP synthase
102,Calcium-transporting ATPase 1
103,Carbamoyl phosphate synthase small chain
104,Carbon monoxide dehydrogenase
105,Carbon monoxide dehydrogenase medium chain
106,Carbonic anhydrase
107,Carboxy-terminal processing protease CtpB
108,Carboxynorspermidine/carboxyspermidine decarboxylase
109,Chloramphenicol acetyltransferase
110,Choloylglycine hydrolase
111,Chorismate mutase
112,Chorismate synthase
113,Class 3 fructose-bisphosphatase
114,Class I SAM-dependent methyltransferase )
115,Cobalt-precorrin-2 C-methyltransferase
116,Cobalt-precorrin-5B C-methyltransferase
117,"Cobyrinate a,c-diamide synthase"
118,Coenzyme A biosynthesis bifunctional protein CoaBC [Includes: Phosphopantothenoylcysteine decarboxylase ; Phosphopantothenate--cysteine ligase ]
119,Copper-exporting P-type ATPase A
120,Creatinine amidohydrolase
121,Cystathionine gamma-synthase
122,Cysteine desulfurase IscS
123,Cysteine synthase B
124,Cysteine--tRNA ligase
125,Cytidylate kinase CmpK
126,Cytosine-specific methyltransferase
127,D-3-phosphoglycerate dehydrogenase
128,D-alanine--D-alanine ligase
129,D-alanyl-D-alanine dipeptidase
130,D-hydantoinase
131,DNA ligase
132,DNA polymerase IV
133,DNA-directed RNA polymerase subunit alpha
134,Delta-aminolevulinic acid dehydratase
135,Demethylmenaquinone methyltransferase
136,Deoxycytidylate deaminase DctD
137,Deoxyguanosinetriphosphate triphosphohydrolase Dgt
138,Deoxyribose-phosphate aldolase
139,Deoxyuridine 5'-triphosphate nucleotidohydrolase
140,Dephospho-CoA kinase
141,Desulfoferrodoxin
142,Diadenylate cyclase
143,Diaminopimelate decarboxylase
144,Diaminopropionate ammonia-lyase
145,Dihydrolipoyl dehydrogenase
146,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
147,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
148,Dihydroorotase
149,Dihydropteroate synthase
150,Dihydroxy-acid dehydratase
151,Diol dehydratase small subunit
152,Endonuclease III lyase)
153,Enolase
154,Enoyl-[acyl-carrier protein] reductase FabI
155,Exodeoxyribonuclease
156,Exodeoxyribonuclease 7 small subunit
157,Exopolyphosphatase
158,Farnesyl diphosphate synthase
159,Ferredoxin-dependent glutamate synthase 1
160,Flavin-dependent thymidylate synthase
161,Formamidopyrimidine-DNA glycosylase lyase MutM)
162,Formate dehydrogenase subunit alpha
163,Formate--tetrahydrofolate ligase
164,Formylmethanofuran dehydrogenase subunit E
165,Fuculose phosphate aldolase
166,Fumarate hydratase
167,"GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase"
168,GMP synthase GuaA1
169,GTP cyclohydrolase I
170,GTP diphosphokinase
171,Galactose/methyl galactoside import ATP-binding protein MglA
172,Gamma-glutamyl phosphate reductase
173,Geranyltranstransferase CrtE
174,Glucokinase GlcK
175,Glucose-1-phosphate adenylyltransferase
176,Glucose-1-phosphate cytidylyltransferase
177,Glucose-1-phosphate thymidylyltransferase
178,Glucose-6-phosphate isomerase
179,Glucose-specific phosphotransferase system IIABC components
180,Glutamate 5-kinase
181,Glutamate decarboxylase
182,Glutamate racemase
183,"Glutamate-1-semialdehyde 2,1-aminomutase"
184,Glutamine synthetase GlnA3
185,Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
186,Glutamine--tRNA ligase
187,Glutamyl-tRNA amidotransferase subunit A
188,Glutamyl-tRNA reductase
189,Glutaredoxin arsenate reductase
190,Glycerate kinase
191,Glycerol dehydrogenase
192,Glycerol kinase
193,Glycerol-3-phosphate dehydrogenase
194,Glycerophosphoryl diester phosphodiesterase GlpQ1
195,Glycine--tRNA ligase
196,Glycogen synthase
197,"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase"
198,Guanylate kinase
199,HAD family hydrolase
200,Heptaprenyl diphosphate synthase component I
201,Histidine biosynthesis bifunctional protein HisIE
202,Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase ; Phosphoribosyl-ATP pyrophosphatase ]
203,Histidine--tRNA ligase
204,Histidinol dehydrogenase
205,Histidinol-phosphatase
206,Histidinol-phosphate aminotransferase
207,Homocitrate synthase omega subunit NifV2
208,Homoserine dehydrogenase
209,Homoserine kinase
210,Hydroxyethylthiazole kinase
211,Hydroxylamine reductase
212,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
213,Hypoxanthine phosphoribosyltransferase
214,Imidazoleglycerol-phosphate dehydratase
215,Indole-3-glycerol phosphate synthase
216,Indolepyruvate oxidoreductase subunit IorA
217,Inosine-5'-monophosphate dehydrogenase
218,Iron-hydroxamate import ATP-binding protein FhuC
219,Isocitrate dehydrogenase Icd
220,Isoleucine--tRNA ligase
221,Ketol-acid reductoisomerase )
222,L-2-hydroxyglutarate oxidase LhgO /FAD-dependent oxidoreductase)
223,L-allo-threonine aldolase LtaA
224,L-asparaginase 1
225,L-aspartate oxidase
226,L-serine dehydratase
227,L-threonine dehydratase catabolic TdcB
228,L-threonine kinase
229,L-xylulose/3-keto-L-gulonate kinase
230,LL-diaminopimelate aminotransferase
231,Lactoylglutathione lyase
232,Leucine--tRNA ligase
233,LexA repressor
234,"Lipase, class 3"
235,Lipoprotein signal peptidase
236,Lon protease
237,Lysine--tRNA ligase
238,Methionine aminopeptidase
239,Methionine synthase
240,Methionine--tRNA ligase
241,Methionyl-tRNA formyltransferase
242,Methylated-DNA--protein-cysteine methyltransferase
243,Methylglyoxal synthase
244,Methylthioribose-1-phosphate isomerase
245,Molybdopterin molybdenumtransferase
246,"N,N'-diacetyllegionaminic acid synthase"
247,N-acetyl-gamma-glutamyl-phosphate reductase
248,N-anthranilate isomerase
249,N5-carboxyaminoimidazole ribonucleotide mutase imidazole mutase)
250,NAD kinase
251,NAD synthase
252,NAD-dependent 4-hydroxybutyrate dehydrogenase
253,NAD-dependent malic enzyme
254,NADP-reducing hydrogenase subunit HndC
255,Nickel import ATP-binding protein NikE
256,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase -alpha-phosphoribosyltransferase)
257,Nitrogenase iron protein
258,Nucleoside-triphosphatase
259,O-acetylhomoserine aminocarboxypropyltransferase
260,Octanoyltransferase
261,Oleate hydratase
262,Opine dehydrogenase
263,Ornithine carbamoyltransferase
264,Ornithine cyclodeaminase
265,Orotate phosphoribosyltransferase
266,Orotidine 5'-phosphate decarboxylase
267,Oxygen-independent coproporphyrinogen-III oxidase 2
268,Pantothenate synthetase
269,Penicillin-binding protein 1A
270,Peptide deformylase
271,Peptide methionine sulfoxide reductase MsrA -S-oxide reductase)
272,Peptidyl-prolyl cis-trans isomerase
273,Peptidyl-tRNA hydrolase
274,Phenylacetate-coenzyme A ligase
275,Phenylalanine--tRNA ligase alpha subunit
276,Phosphate ABC transporter ATP-binding protein
277,Phosphate acetyltransferase
278,Phosphatidate cytidylyltransferase
279,Phospho-2-dehydro-3-deoxyheptonate aldolase
280,Phospho-N-acetylmuramoyl-pentapeptide-transferase
281,Phosphoenolpyruvate-protein phosphotransferase
282,Phosphoglucosamine mutase
283,Phosphoglycerate kinase
284,Phosphomannomutase/phosphoglucomutase
285,Phosphomethylpyrimidine synthase
286,Phosphopantetheine adenylyltransferase
287,Phosphopantothenoylcysteine synthase/decarboxylase CoaBC2
288,Phosphoribosylamine--glycine ligase
289,Phosphoribosylaminoimidazole-succinocarboxamide synthase
290,Phosphoribosylformylglycinamidine cyclo-ligase
291,Phosphoribosylformylglycinamidine synthase II
292,Phosphoribosylglycinamide formyltransferase
293,Phosphoserine aminotransferase
294,Phosphoserine phosphatase 1
295,Polyamine aminopropyltransferase
296,Polyphosphate kinase
297,Polyribonucleotide nucleotidyltransferase
298,Precorrin-2 C-methyltransferase
299,Precorrin-3B C-methyltransferase
300,Precorrin-4 C-methyltransferase
301,Precorrin-6A reductase
302,Precorrin-8X methylmutase
303,Prephenate dehydrogenase TyrA
304,Prepilin leader peptidase/N-methyltransferase
305,Probable butyrate kinase
306,Probable dual-specificity RNA methyltransferase RlmN -C)-methyltransferase)
307,Probable endonuclease 4
308,Probable glycine dehydrogenase subunit 2 2)
309,Probable molybdenum cofactor guanylyltransferase
310,Probable nicotinate-nucleotide adenylyltransferase diphosphorylase) pyrophosphorylase)
311,Proline--tRNA ligase
312,Protein-glutamate methylesterase/protein-glutamine glutaminase
313,Putative 3-hydroxybutyryl-CoA dehydrogenase
314,Putative phosphinothricin acetyltransferase YwnH
315,Putative tRNA -2'-O)-methyltransferase -methyltransferase)
316,Putative xanthine dehydrogenase subunit A
317,Pyridoxal 5'-phosphate synthase subunit PdxT
318,Pyrroline-5-carboxylate reductase
319,Pyruvate carboxylase
320,Pyruvate dehydrogenase E1 component subunit beta
321,Pyruvate formate-lyase 1-activating enzyme
322,Pyruvate formate-lyase PflB1
323,Pyruvate kinase
324,"Pyruvate, phosphate dikinase"
325,Pyruvate:ferredoxin oxidoreductase
326,Queuine tRNA-ribosyltransferase
327,Quinolinate synthase
328,Quinone oxidoreductase 2
329,RNA helicase
330,RNA-directed DNA polymerase
331,Release factor glutamine methyltransferase MTase PrmC)
332,"Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase ; GTP cyclohydrolase-2 ]"
333,Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase ; 5-amino-6-uracil reductase ]
334,Riboflavin biosynthesis protein [Includes: kinase ; FMN adenylyltransferase ]
335,Riboflavin synthase
336,Ribonuclease 3
337,Ribonuclease BN
338,Ribonuclease P protein component
339,Ribonuclease PH
340,Ribose-5-phosphate isomerase B
341,Ribose-phosphate pyrophosphokinase
342,Ribosomal RNA large subunit methyltransferase H -methyltransferase) -methyltransferase RlmH)
343,Ribosomal RNA small subunit methyltransferase A -N/adenine-N)-dimethyltransferase) dimethyltransferase)
344,Ribosomal RNA small subunit methyltransferase E
345,Ribosomal RNA small subunit methyltransferase H C1402 methyltransferase) -)-methyltransferase RsmH)
346,Ribosomal RNA small subunit methyltransferase I -methyltransferase RsmI)
347,Ribosomal large subunit pseudouridine synthase D
348,Ribosomal protein uS12 methylthiotransferase RimO )-methylthiotransferase)
349,Ribulose-phosphate 3-epimerase
350,S-adenosylmethionine decarboxylase proenzyme [Cleaved into: beta chain; alpha chain]
351,S-adenosylmethionine synthase
352,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
353,S-methyl-5-thioribose kinase
354,S-ribosylhomocysteine lyase
355,Saccharopine dehydrogenase Sdh
356,"Sarcosine oxidase, alpha subunit SoxA"
357,"Selenide, water dikinase"
358,Serine acetyltransferase
359,Serine hydroxymethyltransferase
360,Serine--tRNA ligase synthetase)
361,Serine/threonine phosphatase stp
362,Shikimate dehydrogenase )
363,Shikimate kinase I
364,Signal peptidase I
365,Sirohydrochlorin cobaltochelatase
366,Sn-glycerol-1-phosphate dehydrogenase
367,Sorbitol dehydrogenase
368,Spermidine/putrescine import ATP-binding protein PotA
369,Stage 0 sporulation protein A homolog
370,Sterol 3-beta-glucosyltransferase
371,Succinyl-diaminopimelate desuccinylase DapE
372,Taurine import ATP-binding protein TauB
373,Teichoic acids export ATP-binding protein TagH
374,Tetrahydromethanopterin S-methyltransferase subunit H
375,Thermostable beta-glucosidase B
376,Thiamine diphosphokinase
377,Thiamine-phosphate synthase
378,Thiazole synthase
379,Thioredoxin reductase
380,Threonine synthase
381,Threonine--tRNA ligase
382,Threonylcarbamoyl-AMP synthase
383,Thymidylate synthase 1
384,Trans-aconitate 2-methyltransferase
385,Transketolase
386,Triosephosphate isomerase
387,Tryptophan synthase alpha chain
388,Tryptophan--tRNA ligase
389,Tungsten-containing formaldehyde ferredoxin oxidoreductase For
390,Type I restriction enzyme endonuclease subunit
391,Type III pantothenate kinase
392,Tyrosine--tRNA ligase
393,UDP-N-acetylenolpyruvoylglucosamine reductase
394,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
395,UDP-N-acetylglucosamine 2-epimerase
396,UDP-N-acetylglucosamine--N-acetylmuramyl- pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
397,UDP-N-acetylmuramate--L-alanine ligase
398,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
399,UDP-N-acetylmuramoylalanine--D-glutamate ligase
400,UDP-glucose 4-epimerase
401,UDP-glucose 6-dehydrogenase
402,UTP--glucose-1-phosphate uridylyltransferase
403,Uncharacterized protein
404,Undecaprenol kinase
405,Undecaprenyl-diphosphatase
406,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
407,Uracil phosphoribosyltransferase
408,Uracil-DNA glycosylase
409,Uridylate kinase
410,Uroporphyrinogen decarboxylase
411,V-type ATP synthase subunit B
412,Valine--tRNA ligase
413,Vitamin B12-dependent ribonucleotide reductase
414,Xaa-Pro aminopeptidase
415,Xanthine phosphoribosyltransferase
416,Xylulose kinase
417,[acyl-carrier-protein] S-malonyltransferase
418,adenosylhomocysteine nucleosidase
419,alanine transaminase
420,biotin synthase
421,dITP/XTP pyrophosphatase
422,"dTDP-4-amino-4,6-dideoxygalactose transaminase"
423,"dTDP-4-dehydrorhamnose 3,5-epimerase"
424,dTDP-4-dehydrorhamnose reductase
425,"dTDP-glucose 4,6-dehydratase"
426,enoyl-CoA hydratase
427,fructose-bisphosphate aldolase
428,glutamate synthase
429,glutamate--cysteine ligase
430,inorganic diphosphatase
431,nicotinate phosphoribosyltransferase
432,nicotinate-nucleotide diphosphorylase
433,non-specific serine/threonine protein kinase
434,nucleoside-diphosphate kinase
435,peptide-methionine -S-oxide reductase
436,precorrin-2 dehydrogenase
437,prephenate dehydratase
438,protein-glutamate O-methyltransferase
439,protein-tyrosine-phosphatase
440,pyridoxal kinase
441,ribonuclease H
442,site-specific DNA-methyltransferase
443,tRNA -)-methyltransferase
444,tRNA -)-methyltransferase -N)-methyltransferase) -methyltransferase)
445,tRNA -N)-methyltransferase
446,tRNA N6-adenosine threonylcarbamoyltransferase A synthase) A37 threonylcarbamoyladenosine biosynthesis protein TsaD)
447,tRNA dimethylallyltransferase
448,tRNA epoxyqueuosine reductase QueG
449,tRNA pseudouridine synthase A synthase)
450,tRNA pseudouridine synthase B synthase)
451,tRNA-2-methylthio-N-dimethylallyladenosine synthase adenosine tRNA methylthiotransferase MiaB) A37 methylthiotransferase)
452,tRNA-lysidine synthase
453,tRNA-specific adenosine deaminase
454,tRNA1 -N6)-methyltransferase
455,tetrahydrofolate synthase
456,-2-haloacid dehalogenase
457,-3-sulfolactate dehydrogenase )
458,-mandelate dehydrogenase
459,-sulfolactate dehydrogenase
460,-sulfolactate sulfo-lyase subunit beta
461,"1,2-phenylacetyl-CoA epoxidase subunit B"
462,"1,4-alpha-glucan branching enzyme GlgB -glucan enzyme)"
463,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD"
464,1--5-[methylideneamino] imidazole-4-carboxamide isomerase
465,1-acyl-sn-glycerol-3-phosphate acyltransferase
466,1-deoxy-D-xylulose 5-phosphate reductoisomerase
467,1-deoxy-D-xylulose-5-phosphate synthase
468,15-cis-phytoene synthase
469,16S rRNA -C)-methyltransferase -)-methyltransferase RsmB)
470,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
471,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
472,"2,5-didehydrogluconate reductase DkgB"
473,"2,5-dihydroxypyridine 5,6-dioxygenase"
474,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
475,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
476,2-acetyl-CoA isomerase PaaG
477,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
478,2-aminobenzoate-CoA ligase
479,2-dehydro-3-deoxygluconokinase
480,2-dehydro-3-deoxyphosphooctonate aldolase
481,2-dehydropantoate 2-reductase
482,2-hydroxy-3-oxopropionate reductase
483,2-hydroxymuconate tautomerase
484,2-isopropylmalate synthase
485,2-methylcitrate dehydratase
486,2-methylcitrate synthase
487,2-methylisocitrate lyase -2-methylisocitrate lyase)
488,2-oxoisovalerate dehydrogenase subunit alpha
489,23S rRNA -C)-methyltransferase RlmD -methyltransferase)
490,23S rRNA -methyltransferase RlmB -methyltransferase)
491,"3,4-dihydroxy-2-butanone 4-phosphate synthase"
492,"3,4-dihydroxyphenylacetate 2,3-dioxygenase"
493,"3-carboxy-cis,cis-muconate cycloisomerase"
494,3-dehydroquinate dehydratase
495,3-dehydroquinate synthase
496,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
497,3-deoxy-D-manno-octulosonic acid kinase
498,3-deoxy-D-manno-octulosonic acid transferase)
499,3-deoxy-manno-octulosonate cytidylyltransferase
500,3-hydroxy-3-methylglutaryl coenzyme A reductase
501,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ -hydroxymyristoyl-[acyl-carrier-protein] dehydratase) -hydroxymyristoyl-ACP dehydrase)
502,3-hydroxybutyrate dehydrogenase
503,3-hydroxybutyryl-CoA dehydrogenase
504,3-hydroxyisobutyrate dehydrogenase
505,3-isopropylmalate dehydratase large subunit
506,3-isopropylmalate dehydrogenase
507,3-mercaptopyruvate sulfurtransferase
508,3-methyl-2-oxobutanoate hydroxymethyltransferase
509,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
510,3-oxoacyl-[acyl-carrier-protein] reductase
511,3-oxoacyl-[acyl-carrier-protein] synthase 2
512,3-oxoadipate CoA-transferase subunit A
513,3-oxoadipate enol-lactonase 2
514,3-phosphoshikimate 1-carboxyvinyltransferase
515,3-propionate/3-hydroxycinnamic acid hydroxylase
516,4-alpha-glucanotransferase
517,4-aminobutyrate--2-oxoglutarate transaminase
518,4-carboxymuconolactone decarboxylase
519,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase -2-C-methyl-D-erythritol kinase)
520,4-hydroxy-2-oxoheptanedioate aldolase
521,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase -butenyl 4-diphosphate synthase)
522,4-hydroxy-tetrahydrodipicolinate reductase
523,4-hydroxy-tetrahydrodipicolinate synthase
524,4-hydroxybenzoate octaprenyltransferase
525,"4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase, N-terminal subunit"
526,4-hydroxyphenylpyruvate dioxygenase
527,4-hydroxythreonine-4-phosphate dehydrogenase 2
528,4-oxalmesaconate hydratase
529,5'-nucleotidase SurE
530,5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
531,5-formyltetrahydrofolate cyclo-ligase
532,5-keto-4-deoxy-D-glucarate aldolase
533,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
534,5-oxoprolinase subunit A A)
535,50S ribosomal protein L16 3-hydroxylase
536,"6,7-dimethyl-8-ribityllumazine synthase"
537,6-hydroxynicotinate 3-monooxygenase
538,"7,8-dihydroneopterin aldolase"
539,7-cyano-7-deazaguanine synthase)
540,8-amino-7-ketopelargonate synthase
541,8-oxo-dGTP diphosphatase
542,ADP-L-glycero-D-manno-heptose-6-epimerase
543,AMP nucleosidase
544,ATP phosphoribosyltransferase
545,ATP-dependent Clp protease proteolytic subunit
546,ATP-dependent DNA helicase recQ
547,ATP-dependent RNA helicase RhlE
548,ATP-dependent protease subunit HslV
549,Acetate kinase
550,Acetolactate synthase small subunit
551,Acetyl-CoA C-acyltransferase
552,Acetyl-CoA carboxylase biotin carboxyl carrier protein
553,Acetyl-CoA:oxalate CoA-transferase
554,Acetyl-coenzyme A synthetase
555,Acetylglutamate kinase
556,Acetylornithine aminotransferase
557,Acetylornithine deacetylase
558,Acetyltransferase component of pyruvate dehydrogenase complex
559,Aconitate hydratase B
560,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
561,Acyl-coenzyme A dehydrogenase
562,Adenine phosphoribosyltransferase
563,Adenosine kinase
564,Adenosylhomocysteinase
565,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
566,Adenylate kinase
567,Adenylosuccinate lyase
568,Adenylosuccinate synthetase
569,Agmatinase
570,Alanine racemase
571,Alanine--tRNA ligase
572,Alkyl hydroperoxide reductase subunit C
573,Allantoinase
574,Allophanate hydrolase
575,"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase -alpha-D-glucan:maltose-1-phosphate alpha-D-maltosyltransferase)"
576,Alpha-ketoglutarate-dependent taurine dioxygenase
577,Amidase
578,Amidophosphoribosyltransferase
579,Aminoglycoside adenylyltransferase
580,Aminomethyltransferase
581,Aminopeptidase N
582,Anaerobic ribonucleoside-triphosphate reductase
583,Anhydro-N-acetylmuramic acid kinase
584,"Anthranilate 1,2-dioxygenase small subunit"
585,"Anthranilate 1,2-dioxygenase system ferredoxin--NAD reductase component"
586,Anthranilate phosphoribosyltransferase
587,Anthranilate synthase component 1
588,Arabinose 5-phosphate isomerase KdsD
589,Arabinose import ATP-binding protein AraG
590,Arginase
591,Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: alpha chain; beta chain] [Includes: Glutamate N-acetyltransferase ; Amino-acid acetyltransferase ]
592,Arginine--tRNA ligase
593,Argininosuccinate lyase
594,Argininosuccinate synthase
595,Aromatic-amino-acid aminotransferase
596,Arsenate reductase
597,Aspartate 1-decarboxylase [Cleaved into: beta chain; alpha chain]
598,Aspartate aminotransferase
599,Aspartate carbamoyltransferase
600,Aspartate--tRNA ligase
601,Aspartate-semialdehyde dehydrogenase
602,Aspartokinase
603,Bacterioferritin
604,Benzoate--CoA ligase
605,Benzoyl-CoA-dihydrodiol lyase
606,Beta-eliminating lyase
607,Beta-hexosaminidase
608,Beta-ketoacyl-ACP reductase
609,Beta-ketoacyl-[acyl-carrier-protein] synthase III
610,Beta-ketoacyl-acyl-carrier-protein synthase I
611,Bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
612,Bifunctional chorismate mutase/prephenate dehydratase
613,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme [Includes: adenylyl-L-tyrosine phosphorylase ; adenylyl transferase ]
614,Bifunctional glyoxylate/hydroxypyruvate reductase B
615,"Bifunctional ppGpp synthetase/guanosine-3',5'-bis 3'-pyrophosphohydrolase"
616,Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase ; Methenyltetrahydrofolate cyclohydrolase ]
617,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase ; Glucosamine-1-phosphate N-acetyltransferase ]
618,Bifunctional protein PutA [Includes: Proline dehydrogenase ; Delta-1-pyrroline-5-carboxylate ]
619,Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase ; IMP cyclohydrolase ]
620,Bifunctional uridylyltransferase/uridylyl-removing enzyme [Includes: [Protein-PII] uridylyltransferase ; [Protein-PII]-UMP uridylyl-removing ]
