Kingdom,Phylum,Class,Order,Familia,Genera,GID,site_2,site_3,site_4,site_5,site_17,site_18,site_21,site_24,site_26,site_28,site_35,site_57,site_58,site_59,site_60,site_69,site_70,Influence
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,572,21.3053,19.6293,24.9686,19.9798,4.9762,4.1651,0.0,0.2235,0.0,0.716,0.6006,0.5243,0.5187,1.1386,1.9467,0.0,0.0,13
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,304,0.2277,0.3069,0.238,1.0436,0.0,1.1577,6.0083,21.618,0.0013,0.0509,0.0,0.0,0.1345,0.1682,0.0,1.09,4.53,13
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,6,0.019,0.0246,0.0176,0.0221,0.0,0.0378,0.4532,5.5572,0.0396,0.0235,0.0,0.2467,0.0961,0.042,0.1441,0.0,0.0,13
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,136,0.2087,0.3437,0.1697,0.3902,0.0,2.3405,0.7475,2.94,0.0,0.6808,0.0289,0.1234,0.8261,0.8549,0.0979,0.0,0.0,13
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,462,5.4449,0.9821,1.4567,2.1793,0.0,0.5537,0.0,0.005,0.0,0.043,0.0217,0.2467,0.0768,0.0981,0.0569,0.0,0.0,12
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Ferribacterium,315,0.019,0.0368,0.0441,0.0828,0.0,0.0503,0.0008,2.6073,1.1757,0.043,0.0434,0.0,0.0192,0.0736,0.0,0.0,0.0,12
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pseudorhodoferax,589,0.019,0.0368,0.022,0.0497,0.0,0.151,0.015,0.0248,0.1742,5.1023,0.1375,0.0,3.2277,3.1286,0.0,0.0,0.0,12
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,113,0.019,0.0246,0.0573,0.0626,11.0111,0.0503,0.0,0.005,0.0,0.3287,0.0,0.0154,0.2498,0.1892,0.0285,0.0,0.0,12
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,371,0.0,0.0,0.0022,0.0055,0.0,0.0378,0.0016,0.0,18.2616,4.0459,0.0724,0.0617,1.3641,1.531,0.0125,1.41,0.0,12
Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Sediminibacterium,647,0.0,0.0,0.0,0.0037,2.0116,0.0126,0.5062,35.3099,0.3312,0.0587,0.0,19.6762,0.0768,0.0526,0.6744,1.75,0.0,12
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,683,2.713,1.8291,8.2663,2.3541,0.5823,0.4782,0.0,0.4867,0.0,0.1174,0.2388,0.0,0.0961,0.2277,0.0,0.0,0.0,11
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,351,0.6261,0.4297,5.0709,0.5062,0.0,0.4404,0.0,0.0,0.0,0.0157,0.0579,0.3547,0.0768,0.049,4.7884,0.0,0.0,11
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,269,0.0,0.0,0.0,0.0018,2.2234,0.0503,0.0364,2.0759,0.0013,0.0313,0.0,3.2845,0.0192,0.0385,67.9188,0.0,0.0,11
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,375,0.702,0.6875,0.6016,9.5472,0.0,0.7928,0.0,0.0,0.0,0.1683,0.5934,0.0308,0.1537,0.0911,0.0391,0.0,0.0,11
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,864,3.2821,0.2946,2.8605,0.4638,0.1059,0.2517,0.0,0.0,0.0,0.043,0.0,0.0463,0.1153,0.0385,0.1174,0.0,0.0,11
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,664,5.9951,2.4306,2.1112,3.3131,0.0,2.2776,0.0206,0.0,11.2177,0.2113,0.2677,0.0,0.0961,0.0385,0.0,0.0,0.0,11
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,91,0.1138,0.2332,0.141,0.2043,0.0,1.8498,0.0,0.0944,0.0,5.1571,0.0145,0.0,1.3256,0.9459,0.0,5.23,0.0,11
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,863,2.1628,0.8102,1.536,0.8375,0.0,1.661,0.0047,0.0298,0.0,0.2191,0.0,0.0,0.1921,0.1717,0.0,0.0,0.0,10
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,591,3.0734,3.7073,2.6379,4.3015,0.0,35.7997,0.0,0.0,0.0,0.5008,0.0,0.7556,0.4803,0.6481,0.0303,0.0,0.0,10
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,40,0.8537,4.1616,3.5899,1.2755,0.0,1.1325,0.0008,0.2831,0.0,0.0626,0.0,0.0,0.0,0.021,0.0018,0.0,0.0,10
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseococcus,625,0.0,0.0,0.0044,0.0,0.0,0.0126,0.295,0.005,0.0013,0.4617,0.0036,0.0,3.1508,3.6191,0.0053,0.0,0.0,10
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,484,0.0,0.0123,0.0044,0.0147,0.0,0.0126,0.0,0.005,0.0,0.0704,0.0,0.0308,0.0768,0.1191,0.0,2.82,0.0,10
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,198,0.0,0.0737,0.0154,0.0239,0.0,0.1636,0.0079,0.0,0.6202,1.3147,0.0,0.0463,10.951,7.1156,0.0,0.0,0.0,10
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,449,1.8972,2.5043,1.6682,2.9045,0.0,1.8498,0.0,0.0,0.0,0.0235,12.6565,0.0,0.0192,0.0175,0.0,1.54,0.0,10
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Variibacter,862,0.0569,0.0246,0.357,0.1307,0.0,0.0378,0.0459,0.0,0.0,9.7938,0.0217,0.0,0.634,0.6727,0.0,0.0,0.0,10
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Tessaracoccus,715,0.0,0.0,0.0022,0.0018,0.0,0.0126,11.1244,0.6804,0.0092,0.0,0.0,0.0617,0.0192,0.007,0.016,0.0,0.0,10
Bacteria,Thermi,Deinococci,Thermales,Thermaceae,Thermus,725,0.3035,3.5846,2.0539,3.7401,0.0,0.1762,0.0,0.0,0.0,0.0078,0.0,0.0154,0.0,0.007,0.0053,0.0,0.0,9
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,565,0.2466,1.4854,4.4009,1.0731,0.0,0.2643,0.0,0.005,0.0,0.0117,0.2099,0.0,0.0,0.0526,0.0,0.0,0.0,9
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,23,1.2332,0.3069,2.2016,0.9148,0.0,0.151,0.0,0.005,0.0,0.0391,0.0,0.0,0.0,0.035,0.0036,0.0,0.0,9
Bacteria,Firmicutes,Clostridia,Clostridiales,Dehalobacteriaceae,Dehalobacterium,251,0.0949,0.2578,0.249,0.3037,0.0,0.2139,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.007,0.0142,0.0,44.4,9
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,254,0.3225,0.2455,0.2733,0.3276,0.0,2.4789,0.0,0.0,0.0,0.0783,0.0,0.0,0.0192,0.028,0.0036,0.0,0.0,9
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira,660,0.9106,1.0557,0.9278,1.362,0.0,2.2524,0.0,0.0,0.0,0.3756,0.0,0.0,0.5572,0.5536,0.0,0.0,0.0,8
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Silanimonas,659,0.1518,0.1473,0.0793,0.1049,0.0,0.2139,0.0,0.0,0.0,6.2449,0.0,0.0,0.7109,0.7357,0.0,0.0,0.0,8
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Gelria,334,0.0,0.0,0.0022,0.0037,0.0,0.0126,0.0,0.0099,0.0,1.7373,0.0,0.0,0.0384,0.1086,0.0,0.0,2.3,8
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,20,2.694,0.135,0.1388,0.173,0.0,0.1258,0.0,0.0,0.0,0.1565,0.0,0.0,0.1729,0.0175,0.0,0.0,0.0,8
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingosinicella,678,0.0,0.0,0.0,0.0074,0.0,0.0126,0.0,0.0,0.0,1.4986,3.0972,0.0,0.1537,0.1331,0.0036,0.0,0.0,7
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,533,0.0569,2.6025,0.1256,0.1123,0.0,0.0755,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,7
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Denitratisoma,255,0.1707,0.2455,0.1521,0.2411,0.0,0.3272,0.0,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.0,42.9,0.0,7
Bacteria,Proteobacteria,Alphaproteobacteria,Burkholderiales,Alcaligenaceae,Phreatobacter,550,0.0,0.0,0.0044,0.0,0.0,0.0126,0.0,0.0,0.0079,11.3394,0.1303,0.0,18.9625,26.0799,0.0,0.0,0.0,7
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter,871,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.4069,0.0,0.0154,2.7089,3.0515,0.0338,0.0,0.0,6
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 7,569,0.3794,0.491,0.4892,7.9901,0.0,0.4656,0.0,0.0,0.0,0.0939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus,705,0.0,0.0,0.0,0.0,10.217,0.0,0.0,0.0,0.0,0.0157,0.0036,0.4934,0.0,0.014,0.1388,0.0,0.0,6
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,209,0.019,0.0123,0.0132,0.0202,0.0,0.0,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,6
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,206,0.0,0.0,0.0022,0.0018,18.7401,0.0,0.0,0.0,0.0,0.1956,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,5
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,606,0.0,0.0,0.0,0.0,0.1059,0.0,0.0,0.0,0.0,0.0939,0.0,6.3531,0.0,0.0105,0.3061,0.0,0.0,5
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas,712,0.0,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4751,0.0,0.0154,8.9337,10.5735,0.0,0.0,0.0,5
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Pelotomaculum,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0071,0.0,23.42,3
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,89,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6345,0.0,0.0,2.9183,0.0,0.0,3
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Thermodesulfovibrio,723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1252,0.0,0.0,3.4582,0.5536,0.0,0.0,0.0,3
Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,731,0.0,0.0,0.0,0.0,3.8115,0.0,0.0,0.0,0.0,0.0,0.0,5.3971,0.0,0.0,0.8755,0.0,0.0,3
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Pelosinus,538,0.0,0.0,0.0,0.0,0.0,0.0,19.459,0.0,0.0092,0.0,0.0,0.0,0.0192,0.0,0.0,0.0,0.0,3
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,767,0.0,0.0,0.0,0.0,0.0,0.0,11.0564,0.0,0.9118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,SRB2,uncultured bacterium,800,0.0,0.0,0.0,0.0,0.0,0.0,4.4785,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Parablastomonas,525,0.0,0.0,0.0,0.0,0.0,0.0,2.4663,0.0,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Caedimonadaceae,Candidatus Nucleicultrix amoebiphila,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.184,0.0,0.0,0.0,0.0,0.0,0.0,1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Candidatus Desulforudis,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2813,0.0,0.0,0.0,0.0,0.0,0.0,1
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NC2004 group,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,uncultured,761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bacteria,Firmicutes,Clostridia,Clostridiales,uncultured,uncultured bacterium,804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Holosporaceae,Caedibacter,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,1
Bacteria,Proteobacteria,Betaproteobacteria,None specified,None specified,beta proteobacterium,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4846,0.0,0.0,0.0,0.0,0.0,0.0,1
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.35,0.0,1
