Kingdom,Phylum,Class,Order,Familia,Genera,GID,site_6,site_7,site_10,site_19,site_20,site_23,site_25,site_27,site_30,site_31,site_33,site_36,site_37,site_38,site_39,site_41,site_42,site_43,site_45,site_46,site_48,site_50,site_51,site_52,site_53,site_54,site_61,site_62,site_63,site_64,site_65,site_66,Influence
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,687,0.0,0.0412,0.0,0.0,0.0,7.8224,0.0086,0.0876,0.7621,0.0,0.1083,0.1023,0.0962,0.0664,0.0932,0.0075,5.6909,0.0493,0.9379,0.0517,0.0421,0.0,0.2219,0.0,1.1144,0.0019,0.0186,0.0044,0.0,0.0,0.9799,0.0,22
Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Sediminibacterium,647,0.0,0.0,0.54,0.0,0.0578,1.7278,1.4087,0.0,3.1875,0.029,0.1354,3.8407,0.1712,1.8505,0.415,0.0,1.533,0.1084,0.0,0.1423,0.0702,0.0,0.2273,0.0052,0.0,0.0248,1.1528,0.1221,0.1618,0.0,1.3065,0.0,22
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,146,0.0,0.1892,0.0,0.0,0.0,0.26,6.9256,0.0,0.1704,1.7106,1.3272,0.1895,0.1272,0.0043,0.0036,0.0075,0.063,0.069,0.2264,0.0,0.014,0.0,0.1255,0.4909,0.0,0.0,26.8873,2.9568,2.9126,0.0,0.0544,0.0,21
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,271,1.94,0.6815,2.81,0.0,0.0,0.4593,3.079,0.0,2.3222,0.0,0.2979,0.7158,0.8106,12.7136,0.3921,0.0,5.2709,0.2759,0.0,2.6773,0.3512,0.0,0.0091,0.0,0.0,0.0,2.2499,29.734,25.7744,0.0,6.2602,0.0,20
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,136,0.0,0.2789,0.0,0.0,1.6469,0.0,9.7344,0.0032,0.0807,0.0,0.0,0.018,0.0016,0.0171,0.0024,0.2251,0.252,0.0394,0.0,0.4699,0.014,0.0259,0.0,0.0012,0.0,0.0,0.595,0.4972,0.601,0.0,0.1089,0.0,20
Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,344,0.0,0.0024,0.0,0.0,0.8235,0.0049,0.2214,0.0016,0.0359,0.0,0.0,0.0,0.0,0.2185,0.0678,11.9218,0.378,0.0,0.0013,18.2798,0.0281,0.0,0.1892,0.0,0.1324,0.0019,0.093,1.8927,1.0633,0.0,0.1089,0.0,20
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,462,0.0,0.5772,0.0,0.0,0.0,0.0097,0.0201,0.0,0.0179,0.0,2.1398,1.2151,0.8758,0.0171,0.0,0.0113,0.021,0.0,0.2655,0.0129,0.0,0.0151,1.3277,0.0,0.6951,0.0038,0.0372,0.0174,0.0462,0.0,0.0544,0.0,20
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Propionivibrio,575,0.0,0.0534,0.0,0.0,0.0867,0.0073,0.2242,0.0,6.5633,0.0,0.0,0.0,0.0065,23.9366,27.0362,0.1576,27.8244,2.1778,0.0,0.194,2.6131,0.0,0.0,0.0,0.0,0.0,0.0186,0.1352,0.1387,1.82,4.3005,8.43,19
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,863,0.98,3.0508,0.0,0.0,0.0,0.0,0.3076,0.0,0.0,0.0,0.948,0.4151,0.8921,0.0107,0.0182,0.0263,0.0,0.0985,0.0,0.0431,0.0281,0.0,0.0109,0.0,0.0,2.6374,0.1488,0.9507,0.6935,2.2,0.0,2.63,19
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Ralstonia,596,0.0,0.0,0.0,19.975,0.0433,0.0024,0.0,1.6484,0.009,0.145,0.0,0.0,0.0049,0.3448,0.3364,0.0225,0.0,0.4237,0.0013,0.0,3.7932,0.0,1.4041,0.0004,0.651,0.0038,0.0186,0.0,0.0,0.0,0.0,0.0,18
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,270,1.38,0.5311,0.0,0.0,0.0,33.7975,24.1864,0.0,0.9773,0.0,4.0628,2.0031,14.7531,0.4112,0.069,0.0,1.533,0.0197,0.0,0.0,0.0281,0.0,0.0,0.0,0.0,0.0,1.7851,8.1683,15.4184,0.0,5.3892,0.0,17
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,6,0.0,0.0364,0.0,0.0,0.0,0.0,0.1179,0.0,0.3542,0.0,0.3792,0.2135,2.2767,4.9454,0.5131,0.0,1.05,0.2365,0.0,0.0043,0.4496,0.0,0.0,0.0,0.0,0.0,0.0,0.6803,0.5317,0.4,1.0343,10.9,17
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,198,0.0,0.017,0.0,0.0,0.1445,0.0,1.0896,0.0,0.0269,0.0,0.7313,0.0812,0.0424,0.0,0.0,0.0488,0.021,0.0,0.0,0.0043,0.0,0.0,0.1273,0.004,0.0,38.9447,1.5991,1.5089,1.5488,0.0,0.1633,0.0,17
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,91,0.0,0.2183,2.42,0.0,0.0144,0.0,0.8107,0.0,0.0,0.0,0.5959,0.2917,0.1908,0.0,0.0,0.0075,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0008,0.0,0.0019,0.2975,1.1426,1.1096,7.76,0.0,2.18,16
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,676,0.0,0.6233,0.0,0.0007,0.0,0.0024,1.7911,0.0,0.0762,0.0,0.0813,0.0361,0.0261,0.0,0.0,0.0525,0.021,0.0,0.0,0.1035,0.0,0.0,0.0,23.5025,0.0,0.0,17.9435,1.3301,1.8955,0.0,0.0544,0.0,16
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,351,0.0,0.3686,0.0,0.0,0.0,0.0,0.0661,0.0016,0.7263,0.0,0.0,0.003,0.0082,0.0278,0.0339,0.0038,0.63,0.0197,6.0048,0.0,0.0,0.0,0.2437,0.0,0.0,0.0019,0.0,0.0131,0.0,0.0,0.4355,0.0,16
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,7,0.0,0.2401,0.0,0.0012,0.0,1.147,0.1409,0.0,0.0,0.0,0.1083,0.2316,0.0473,0.0064,0.0012,0.4164,0.0,0.0,0.0013,0.0,0.0,0.0022,0.0,44.1188,0.0,0.0,0.0186,0.1003,0.0462,0.0,0.0,0.0,16
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,614,0.0,0.0146,0.0,0.0,0.7657,0.0,0.3019,1.0497,0.0,4.929,0.0,0.0241,0.0114,0.0,0.0,1.7894,0.0,0.0,0.1846,0.6079,0.0,0.0,0.0855,0.0,0.0,2.0324,0.0372,0.0131,0.0231,0.0,0.0,0.0,15
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,254,4.01,0.2789,0.0,0.0012,0.0,0.0,0.1725,0.0,0.0045,0.029,0.0271,0.1895,0.0245,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0018,0.0,0.0552,0.0,0.0744,0.048,0.0231,0.0,0.0,0.0,15
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,371,0.0,0.0073,0.0,0.0,0.0,0.5784,0.9573,0.0,0.0538,0.0,11.9989,1.6963,1.0601,0.0,0.0012,0.0,0.084,0.0,0.0,0.0,0.0281,0.0,0.0,0.0012,0.0,0.0,6.8799,1.0728,1.1327,0.0,0.1089,0.0,15
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Candidatus Accumulibacter,171,0.0,0.0024,0.0,0.0,0.0144,0.0,0.6526,0.0,0.0224,0.0,0.0,0.0,0.0,0.045,0.0085,0.4614,0.0,0.0,0.0013,5.139,0.0,0.0,0.0,0.0,0.0441,0.0,0.4649,4.7362,3.0513,0.0,0.0544,0.45,15
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira,660,2.71,9.96,0.0,0.0,0.0,0.0,0.483,0.0,0.0,0.029,0.6501,0.6136,2.5214,0.0,0.0,0.1538,0.0,0.0,0.0,0.0862,0.0,0.0,0.0,0.0,0.0,0.0019,0.0558,0.58,0.5317,1.12,0.0,2.79,15
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,269,0.0,0.0024,0.0,0.0,0.0,1.4896,0.046,0.0,7.5944,0.0,0.0271,0.0,0.0603,0.0043,0.0,0.0,9.1138,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0186,0.9507,0.8091,0.24,5.7703,0.0,14
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium 1,230,0.0,0.0752,0.0,3.8926,0.0144,0.0,0.0057,0.0097,0.0,0.0,0.1354,0.0271,0.0114,0.0,0.0,0.0113,0.0,0.0,0.5134,0.0,0.0,0.0,1.5078,0.0004,2.1075,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,14
Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Ruminiclostridium 1,634,0.0,0.0024,0.0,0.0,11.9041,0.0,0.0144,0.0032,0.0,0.0,0.0,0.003,0.0114,0.0,0.0,17.924,0.0,0.0,0.0054,0.4397,0.0,0.0,0.0564,0.0024,0.0,0.0,0.0186,0.0087,0.0231,0.0,0.0,0.0,14
Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylotenera,455,0.0,0.0,0.0,0.0,0.0,0.1482,0.3162,0.0,0.5873,0.0,0.0,0.012,0.0049,0.0043,0.0194,0.0,0.063,0.0296,0.0,0.0,0.0,0.0,0.0,0.0299,0.0,0.0,4.5928,0.3096,0.5086,0.0,0.0544,0.0,14
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,408,0.0,0.0,2.48,0.0,0.0,0.3597,0.0259,0.0,0.1704,0.0,0.0271,0.0511,0.0277,0.0129,0.1065,0.0,0.168,0.0099,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.502,0.0218,0.0,0.0,0.0,0.0,14
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Ferribacterium,315,0.0,0.0728,0.67,0.0,0.0144,0.0,0.2472,0.0,0.0,0.0,0.0,0.003,0.0212,0.0,0.0,0.0263,0.0,0.0,0.004,12.8088,0.0,0.0,0.0,0.0004,0.0,0.0,0.0372,0.4536,0.3699,0.0,0.0,0.0,13
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,339,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.0,8.5582,0.0,0.0271,0.0,0.0033,2.5916,0.19,0.0,1.365,0.0296,0.0,0.0948,0.0983,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0231,0.0,0.5444,0.0,13
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Sulfuritalea,695,0.0,0.0,0.0,0.0002,0.0,0.1847,0.0086,0.0,0.1614,0.0,0.1354,1.2361,0.0848,0.0,0.0,0.1013,0.147,0.0,0.0,0.0043,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0131,0.0,0.0,2.123,0.0,13
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,853,0.0,0.0,0.0,0.0,0.6934,0.0,0.0201,0.1541,0.0,55.3494,0.0271,0.018,0.0082,0.0,0.0,0.3826,0.0,0.0,2.0281,0.3018,0.0,0.0,0.0,0.0,1.1144,0.0,0.0,0.0131,0.0,0.0,0.0,0.54,13
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,591,7.37,4.5689,0.0,0.0,0.0,0.0,7.2418,0.0,0.1569,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.084,0.0,0.0,0.0517,0.0,0.0,0.0,0.0008,0.0,0.0,0.5392,0.4187,0.393,0.0,0.1089,0.0,12
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,437,0.0,0.1091,0.0,0.0,0.0,0.0,0.2386,0.0081,0.0,0.0,2.0585,1.3023,0.835,0.0,0.0,0.0038,0.0,0.0,0.0256,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0186,0.1483,0.2312,0.0,0.0,0.0,12
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,304,0.0,0.5311,0.0,0.0,0.0,0.0,0.1955,0.0,0.0,0.0,0.0813,0.0571,0.2136,0.0,0.0,0.0,0.0,0.0,0.0,0.0474,0.0,0.0,0.2292,0.0012,0.0,0.0,0.0,0.9333,0.5086,12.92,0.0,49.58,12
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,30,0.0,0.0073,0.0,0.0,0.0,0.0,0.0517,26.783,0.0,0.0,0.1354,0.1805,0.0294,0.0,0.0,0.0225,0.0,0.0,0.1226,0.0474,0.0,0.0,0.0,0.0,0.0,0.0,0.0372,0.0044,0.0462,0.0,0.0,0.0,12
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,229,0.0,0.0,0.0,0.0029,0.0,2.605,0.0029,0.0,0.1748,0.0,0.0,0.0,0.0,0.0493,0.19,0.0,1.008,0.1675,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0057,0.0,0.0044,0.0,0.0,0.2722,0.0,12
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,354,0.0,0.0024,0.0,0.0002,0.0,0.0024,0.0,5.1058,0.0134,0.0,0.0,0.0,0.0,0.0,0.0036,0.0338,0.021,0.0099,46.8662,0.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,20,0.0,0.194,0.0,0.0,0.0,0.0,0.023,0.073,0.0,0.0,0.8126,0.797,0.5561,0.0,0.0,0.0075,0.0,0.0,3.819,0.1681,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.0305,0.0,0.0,0.0,0.0,11
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Tessaracoccus,715,0.0,0.0024,0.0,0.0,0.0,0.0,0.0115,0.0,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0027,7.5189,0.0,0.0,0.0,0.0036,0.0,0.0,0.0186,0.0262,0.0231,48.76,0.0,0.0,11
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pseudorhodoferax,589,0.0,0.034,0.0,0.0,0.0,0.0,2.113,0.0,0.0,0.0,2.4919,2.1625,7.688,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,1.8408,16.3541,12.3209,0.0,0.0,0.28,11
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus,705,0.0,0.0,0.0,0.0,0.0,4.7484,0.0115,0.0,0.4573,0.0,0.0271,0.0211,0.0359,0.0,0.0,0.0,0.336,0.0,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.0087,0.0,0.0,1.6331,0.0,11
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,296,0.0,0.0,0.0,51.2308,0.0,0.0292,0.0,0.0,0.0359,0.029,0.0,0.0,0.0,0.0,0.0,0.0038,0.063,0.0,0.004,0.9269,0.0,0.0,0.5074,0.0,0.6179,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,11
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,484,25.33,0.0049,0.0,0.0,0.0,0.0073,0.0575,0.0,0.0,0.0,0.5688,0.5053,0.3718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0558,0.0785,0.0925,0.0,0.0,0.0,11
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,113,0.0,0.0437,0.0,0.0,0.0,0.4131,0.2156,0.0,0.0,0.0,4.0628,2.9745,3.1362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.1302,0.1744,0.2774,0.0,0.0,0.0,10
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,265,0.0,0.0461,0.0,0.0,0.0,0.0,0.0086,0.0,0.0807,0.0,0.0,0.003,0.0424,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.1439,0.1156,0.0,2.5585,0.0,10
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales Incertae Sedis,Reyranella,599,0.0,0.3565,0.0,0.0,0.0,0.0,1.0551,0.0,0.0,0.0,0.1896,0.2707,0.1615,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,11.3983,0.9376,1.0633,0.0,0.0,0.0,10
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,664,13.49,47.3966,0.0,0.0,0.0,0.0,0.5635,0.0,0.0,0.0,20.8559,6.7401,40.8197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.1673,0.0959,0.1387,0.0,0.0,0.0,10
Bacteria,Proteobacteria,Alphaproteobacteria,Burkholderiales,Alcaligenaceae,Phreatobacter,550,0.0,0.0,0.0,0.0,0.0,0.0,3.0014,0.0,0.0,0.0,0.2438,0.2556,0.1142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0655,0.0,0.0,23.916,2.3243,3.2795,3.0051,0.0,0.0,0.0,9
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Silanimonas,659,1.49,0.08,0.0,0.0,0.0,0.0,0.4485,0.0,0.0,0.0,3.7378,3.9731,2.1756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6694,0.5102,0.6935,0.0,0.0,0.0,9
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfurispora,273,0.0,0.1358,0.0,0.0,0.0,0.0851,2.5213,0.0,0.0224,0.0,0.0,0.1173,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.3925,0.3699,0.0,0.0,0.0,9
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,267,0.0,0.0267,0.0,0.0,0.0,0.1507,0.0172,0.0,0.139,0.0,2.0043,24.3346,1.7124,0.0,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1573,0.0,9
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,449,0.0,2.2384,11.73,0.0,0.0,0.0,0.0201,0.0032,0.0,0.0,0.0,0.009,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.2224,0.0231,0.0,0.0,0.0,9
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Rhodocyclus,609,0.0,0.0,0.0,0.0,0.0,0.0122,0.0,0.0,1.8381,0.0,0.0,0.0,0.0,4.6841,1.0068,0.0,2.5619,1.488,0.0,0.0,0.7165,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.0,0.0,0.7077,0.0,9
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,214,0.0,0.0,0.0,0.0,0.0,3.2514,0.0,0.0,0.1928,0.0,0.0,0.0,0.0,0.5633,0.0774,0.0,4.2629,0.0493,0.0,0.0,0.1264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5444,0.0,8
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,95,0.0,0.0024,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0271,0.012,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1238,0.1614,0.0925,0.0,0.0,0.0,8
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4007,0.0,0.0,0.0,0.0,0.0,1.9812,1.7292,0.015,0.0,10.7607,1.8111,0.0,4.9171,0.0,0.0,0.0,0.0,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,8
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Propionicimonas,574,0.0,0.0,0.0,0.0,0.0,0.2187,0.0,0.0,0.0134,0.0,0.0,0.0,0.0,4.5706,0.2239,0.0,0.0,0.0985,0.0,0.0,0.2107,0.0,0.0,0.0,0.0,0.0,0.0,0.0262,0.0,0.0,0.1089,0.0,8
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,490,0.0,0.0024,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,1.6522,2.1414,1.1775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0372,0.0611,0.0462,0.0,0.0,0.0,8
Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,PSB-M-3,581,0.0,0.0,0.0,0.0,0.0,0.1847,0.0,0.0,1.2866,0.0,0.0,0.0,0.0,8.1002,0.1984,0.0,2.289,0.1182,0.0,0.0,0.1264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4801,0.0,8
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Aestuariimicrobium,29,0.0,0.0,0.0,0.0,22.1179,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0013,0.789,0.0,0.0,0.0564,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,7
